LANDUSE_TYPE,USER,PIPE DIAM,VENDOR,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12
H2,MI,0.5,CICASA MMD-15 S,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,21,21,21,21,21,21,21,21,21,66,46,67,61,75,106,96,74,103,83,118,40,100,41,77,75,0,55,57,50,51,33,54,32,63,40,42,39,41,34,36,46,37,37,38,32,37,36,35,35,50,37,7,33,32,31,0,22,20,21,0,5,42,12,20,19,19,18,17,15
H2,MI,0.5,NAN,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
H2,MI,0.5,CICASA MMD-15 S,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,26,10,5,6,7,8,8,9,9,11,8,8,27,16,3,10,11,9,20,26,28,14,14,15,13,10,15,10,8,9,22,12,12,24,11,19,20,0,7,7,6,13,13,18,11,12,11,11,11,10
H2,MI,0.5,ACTARIS,18,18,22,10,21,20,24,26,24,22,22,22,14,14,16,21,16,20,28,25,25,23,21,20,16,15,15,13,16,15,14,14,14,15,14,0,11,10,35,21,22,23,25,30,30,18,17,26,17,19,17,18,22,24,26,25,23,22,22,24,13,23,20,23,36,22,32,20,23,21,26,21,17,21,26,24,25,33,29,30,22,21,26,13
H2,MI,0.5,NAN,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
H2,MI,0.5,NAN,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,25,10,8,9,10,9,8,9,9,10,8,7,8,7,7,7,5,6,8,10,9,4,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,3,4,5,5,21,21,21,21,21,21,21,21,21,21,21,21,21,21
H2,MI,0.5,MSDELAUNET,11,10,10,10,10,10,10,9,9,9,9,8,8,8,8,8,3,7,6,6,6,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,2,11,4,4,4,4,4,5,4,4,18,6,6,7,7,7,8,6,6,6,6,6,6,5,5,5,5,5,20,20,11,21,18,30,20,15,38,22,16,16,17,12
H2,MI,0.5,ACTARIS,17,12,8,11,10,9,12,10,8,12,9,7,9,6,7,7,9,8,10,9,9,9,10,10,10,10,10,8,11,11,14,10,13,11,13,10,10,10,8,10,10,8,9,10,9,7,8,0,7,16,16,16,16,11,16,0,12,0,0,3,8,10,11,20,12,17,15,22,13,11,10,7,10,6,8,14,7,8,7,7,5,4,4,3
H2,SOCIAL,0.5,ACTARIS,15,13,12,17,19,20,25,15,12,17,28,9,20,1,11,16,22,18,23,15,17,16,16,14,13,14,13,13,13,22,17,14,19,24,17,14,35,19,20,25,15,23,15,15,14,10,14,11,10,10,15,18,15,26,23,17,34,15,14,18,8,10,10,13,11,13,9,9,10,7,10,8,9,11,12,14,12,14,12,14,12,14,14,9
H2,MI,0.5,CICASA MMD-15 S,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,10,10,10,10,10,19,19,19,19,20,12,16,10,6,6,4,5,3,4,4,5,7,4,6,3,0,0,0,0,0,0,4,9,8,24,2,14,8,7,4,7,6,3,0,0,1,4,12,12,12,13,11,13,15,14,14,15,13,12
H2,MI,0.5,ACTARIS,19,0,19,19,19,19,15,20,18,0,15,14,0,1,3,5,6,4,3,3,3,3,3,0,2,2,2,2,0,1,1,1,1,0,0,22,4,8,4,3,3,3,4,4,2,3,3,3,3,2,2,2,2,0,1,26,12,13,20,6,5,5,3,4,7,1,4,5,4,4,4,3,3,3,4,10,10,3,5,4,3,5,3,4
H2,MI,0.5,NAN,0,0,2,2,2,1,3,1,1,1,1,1,1,0,1,2,1,13,6,8,17,23,17,26,15,17,18,19,18,18,17,17,17,17,16,16,16,16,16,16,15,15,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
H2,MI,0.5,CICASA MMD-15 S,9,7,9,11,12,9,9,17,8,7,7,8,9,7,5,6,7,10,10,8,8,9,8,9,7,13,10,9,9,19,8,11,10,13,10,12,10,18,9,14,13,18,19,13,12,11,18,11,16,0,11,10,13,7,30,17,12,7,15,10,11,12,10,10,12,19,16,15,16,17,17,14,16,8,7,11,14,14,13,13,16,19,23,16
H2,SOCIAL,0.5,NAN,19,21,16,28,19,30,34,40,21,21,16,36,27,0,11,14,20,18,14,42,30,24,25,11,23,25,22,22,17,28,22,58,28,51,32,39,37,26,26,25,30,35,20,28,27,26,9,9,3,16,3,3,2,6,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,2,16,16,16,16,16,16,16,16,16,16,16,16,16,16
H2,MI,0.5,ACTARIS,14,13,16,14,15,9,14,9,6,14,22,12,17,6,3,9,20,11,0,9,5,6,9,6,4,8,6,7,10,11,12,8,8,8,9,9,8,9,8,8,8,8,7,7,7,7,7,7,29,0,2,2,2,7,6,6,0,3,0,3,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,19,26,4,41,40,29,1,0,0
H2,MI,0.5,CICASA MMD-15 S,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,52,9,38,16,28,30,33,30,44,29,41,24,32,32,36,30,31,30,64,33,31,35,13,33,10,24,12,16,47,38,33,20,39,24,28,26,11,21,20,28,26,21,39,31,25,17,17,16,21,13,14,18,19,30,25,28,20,23,20,17
H2,MI,0.5,CICASA MMD-15 S,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,10,21,21,21,21,21,18,17,19,17,13,18,14,15,15,15,14,14,14,14,13,14,13,14,0,14,14,22,24,14,51,69,63,17,3,10,7,2,5,6,19,8,30,11,12,14,37,16,2,1,14,14,0,30,25,15,15,32,19
H2,MI,0.5,CICASA MMD-15 S,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,31,7,10,10,11,11,9,12,13,12,9,15,10,11,11,12,13,10,9,12,12,11,10,10,13,16,6,13,14,11,13,11,12,13,21,12,12,9,3,20,10,10,10,10,12,13,6,16,12,11,15,11,13,15,10,13,12,14,12
H2,MI,0.5,CICASA MMD-15 S,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,23,33,21,24,26,20,30,48,33,22,20,21,21,24,25,31,24,29,21,5,26,23,27,20,31,25,21,23,25,29,26,9,7,20,26,24,36,10,17,74,267,92,11,1,1,4,11,10,13,8,12,13,12,17,13,3,11,14,13,10
H2,MI,0.5,NAN,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
H2,MI,0.5,NAN,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,7,12,13,15,18,14,13,38,13,14,18,18,5,17,14,10,13,12,44,23,15,15,19,14,15,15,16,12,11,13,13,13,12,0,29,31,32,32,22,24,63,34,34,34,34,36,38,33,35,35,36,36,35,35,35,35,35,18
H2,MI,0.5,NAN,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
H2,MI,0.5,MSDELAUNET,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,10,19,16,17,16,16,14,11,12,12,11,10,9,10,10,10,9,9,9,9,9,9,8,8,8,8,8,7,7,7,7,7,0,20,65,17,61,28,31,0,34,0,19,18,16,0,7,19,16,0,9,13,8,11,7,3,1
H2,MI,0.5,Otras / desconocida,13,10,0,11,10,12,10,20,20,0,6,8,29,15,12,25,10,22,18,17,27,24,23,21,25,22,29,28,27,26,22,25,14,13,19,19,18,2,15,32,22,22,12,18,32,20,30,21,22,23,0,21,19,17,16,32,22,20,20,54,27,14,10,23,24,6,17,15,16,0,20,20,20,20,20,20,0,11,12,15,14,14,16,16
H2,MI,0.5,NAN,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,30,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
H2,MI,0.5,NAN,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,20,10,10,10,10,19,10,10,19,19,10,10,10,19,10,10,19,19,10,10,10,10,10,10,10,10,10,10,10,23,10,10,10,10,23,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
H2,MI,0.5,CICASA MMD-15 S,20,0,10,7,18,9,20,10,12,12,13,12,0,9,18,10,18,11,18,20,18,15,16,16,16,16,0,13,16,18,13,12,16,16,14,16,14,16,15,15,16,15,14,16,16,16,15,16,16,16,15,15,15,15,14,15,16,14,14,0,10,10,8,11,13,19,20,18,17,16,19,12,16,15,0,5,7,7,9,7,29,6,11,5
H2,SOCIAL,0.5,CICASA MMD-15 S,12,10,11,12,10,20,22,25,21,27,35,25,12,8,9,13,13,19,24,25,28,13,18,11,19,12,13,15,15,20,22,35,21,12,10,9,10,15,0,7,6,10,8,11,8,8,8,7,9,13,1,10,8,5,13,8,7,7,9,7,8,7,6,7,8,10,3,15,7,7,10,1,7,13,8,8,12,10,18,5,9,10,10,8
H2,MI,0.5,CICASA MMD-15 S,1,0,1,1,0,0,1,0,0,0,1,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,1,0,0,3,17,17,6,17,9,0,11,10,10,0,9,5,10,7,6,7,7,20,43,18,9,7,15,4,7,7,5,7,5,7,6,7,7,6,7,4
H2,MI,0.5,CICASA MMD-15 S,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19,24,18,14,15,11,14,13,13,13,12,11,12,12,12,0,0,0,0,12,16,4,25,9,17,13,13,13,9,12,15,11,12,0,37,14,14,17,15,16,12,28,28,20,12,18,19,20,0,23,11,23,18,18,10,20,16,8
H2,MI,0.5,ACTARIS,16,10,12,14,14,13,8,11,8,14,10,11,27,13,15,11,8,9,10,7,8,14,16,17,21,22,10,8,20,21,17,14,20,17,16,19,19,10,10,12,17,13,9,12,6,10,11,10,11,10,8,10,13,13,14,14,15,12,14,15,16,16,10,14,22,17,15,12,13,8,6,12,10,11,12,11,6,10,11,5,6,13,10,10
H2,MI,0.5,CICASA MMD-15 S,25,25,25,25,25,25,25,25,25,25,25,25,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,20,20,20,20,5,2,3,6,5,12,11,6,8,7,7,6,6,7,6,9,7,5,6,5,7,28,20,0,6,6,4,6,7,5,6,4,9,9,19,19,10,36,19,12,18,0,6,13,14,0,14,0,7,12,3
H2,SOCIAL,0.5,ACTARIS,4,3,4,5,4,5,6,8,5,3,2,4,4,0,2,2,2,7,6,3,6,3,3,3,3,3,4,4,4,6,6,4,9,5,6,5,0,1,4,3,4,4,2,14,3,3,3,4,4,3,4,3,5,5,5,4,3,2,3,3,1,5,2,2,4,5,3,5,4,2,1,3,2,0,3,4,3,4,4,4,3,3,1,1
H2,MI,0.5,ACTARIS,5,6,12,10,16,14,24,45,26,17,39,14,16,10,14,22,21,21,13,29,37,25,26,26,27,26,27,20,25,34,32,25,29,27,26,18,22,20,21,22,36,29,22,2,2,18,17,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,2,6,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
H2,MI,0.5,Otras / desconocida,23,24,16,21,25,22,29,22,38,25,26,18,19,13,22,9,13,15,15,14,14,13,14,14,13,13,13,13,13,13,12,12,12,12,12,11,11,11,20,20,14,14,14,20,16,15,15,15,15,15,14,14,15,15,14,0,12,15,16,31,14,38,15,16,16,21,14,16,16,17,20,16,16,16,15,17,7,9,10,19,0,8,18,10
H2,LI,0.5,ACTARIS,35,25,25,25,37,42,59,64,63,26,46,4,21,15,17,27,29,34,32,32,28,22,29,18,26,28,30,25,61,50,39,34,39,40,42,15,28,22,29,29,10,46,23,33,39,24,24,30,8,26,24,21,42,25,48,57,42,23,30,19,36,4,36,38,36,55,50,36,41,60,43,23,41,18,27,28,24,35,38,32,46,56,63,36
H2,MI,0.5,ACTARIS,22,15,17,16,16,15,24,20,23,16,8,17,11,10,13,18,13,17,24,17,16,15,17,11,19,15,13,12,15,23,27,14,15,13,15,10,17,12,12,13,9,12,14,23,13,20,9,14,21,13,17,11,12,18,16,4,2,9,9,8,12,10,12,11,4,4,9,13,11,18,27,17,27,19,12,13,10,11,10,15,13,11,12,8
RHC,MI,0.5,NAN,60,30,30,30,30,30,30,30,30,30,30,30,30,10,15,20,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,10,30,30,30,30,30,30,30,30,30,30,30,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20
H2,MI,0.5,ACTARIS,37,37,13,18,11,11,19,16,22,23,20,14,18,7,11,9,8,8,20,13,15,13,21,19,21,21,24,30,32,23,18,7,9,19,13,9,8,6,6,18,2,11,8,11,18,24,33,17,18,18,21,0,6,14,12,11,8,7,10,14,11,10,10,18,9,11,7,14,14,14,14,14,14,14,13,13,13,13,14,14,14,14,14,14
H2,MI,0.5,CICASA MMD-15 S,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,10,21,11,10,10,6,4,5,8,7,9,15,8,5,5,22,19,0,3,6,8,10,12,9,12,5,1,9,4,7,6,6,10,8,7,10,1,2,2,1,3,2,1,1,1,2,2,2,4,2,0,1,1
H2,MI,0.5,Cicasa NG 1/2,10,8,7,10,9,9,12,10,10,10,9,9,18,19,9,11,9,10,10,10,17,7,14,10,21,11,9,9,11,12,12,10,10,10,9,11,9,11,13,11,9,11,11,10,15,12,13,14,18,9,5,6,5,7,14,0,2,7,6,4,6,7,4,7,4,4,7,6,5,5,4,4,6,4,4,6,5,5,4,5,7,5,5,5
H2,SOCIAL,0.5,CICASA MMD-15 S,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,27,5,9,5,10,6,12,7,32,18,24,19,18,16,17,30,22,8,4,7,13,26,16,11,10,13,11,4,7,10,10,37,20,22,17,19,27,23,0,7,13,7,2,13,18,9,22,10,10,9,3,6
H2,MI,0.5,AZTECA,11,11,10,13,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,18,18,15,9,10,0,20,11,12,11,13,10,10,10,9,10,10,12,8,8,7,8,10,9,9,11,10,10,8,10,10,10,7,7,11,12,12,9,11,12,9,13,11,11,13,50,28,11,11,11,14,9,9,12,10,12,12,13,10,10,13,9
EQ,COM,0.5,MSDELAUNET,20,20,19,19,19,19,19,19,18,18,18,18,18,17,17,17,16,17,16,16,16,15,15,15,15,14,14,14,14,14,14,13,13,13,12,12,12,12,12,12,11,11,11,11,11,10,10,10,10,10,9,9,9,10,33,34,35,35,35,34,35,0,111,41,44,46,63,63,86,49,10,25,23,19,22,59,28,61,35,18,13,59,55,25
H2,SOCIAL,0.5,SHLUMBERGER,14,14,12,16,20,17,19,24,17,14,19,13,12,9,9,16,14,20,24,23,21,20,18,16,10,11,11,4,8,13,9,17,9,16,15,11,2,24,12,16,17,18,21,21,20,13,18,18,3,10,9,12,15,16,15,16,16,12,20,15,18,14,14,17,18,18,18,15,15,15,17,17,15,12,13,20,16,17,17,15,18,21,22,16
H2,MI,0.5,NAN,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
H2,MI,0.5,MSDELAUNET,25,21,23,26,22,33,26,24,20,24,23,19,22,18,20,25,20,22,20,23,26,20,27,25,27,20,28,25,30,27,25,25,38,27,34,24,28,27,23,27,26,25,68,32,17,23,26,20,23,22,24,23,36,23,16,56,20,13,13,12,10,11,10,20,12,0,31,31,29,22,27,22,24,19,21,29,23,28,28,20,19,22,21,23
H1,MI,0.5,NAN,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,10,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
H2,MI,0.5,CICASA / DE LA UNET,9,22,18,20,24,16,19,19,19,7,19,18,21,23,12,16,17,17,4,11,12,23,14,13,24,17,12,33,28,16,13,16,19,20,18,16,16,17,17,17,16,0,13,13,12,11,10,9,11,10,10,10,9,9,9,9,15,10,10,10,0,8,8,7,11,7,6,23,7,6,6,5,5,4,15,7,7,12,7,7,7,7,7,24
H2,MI,0.5,CICASA MMD-15 S,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,15,15,20,20,51,19,16,5,11,2,17,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,5,2,21,6,6,20,20,20,0,63,15,83,33,16,25,11,27,64,19,31,35,35,0,32,27,0,0,23,24
H2,MI,0.5,NAN,10,10,10,10,10,10,10,22,22,10,22,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,18,18,18,18,18,18,18,18,18,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,10,22,22,22,10,22,22,22,10,22,22,22,10,22
H3,MI,0.5,SHLUMBERGER,5,6,5,6,9,10,12,12,11,9,10,7,16,6,5,6,7,5,5,6,7,11,10,12,13,19,11,26,14,16,17,18,28,18,7,10,24,18,4,8,17,9,7,6,5,3,6,4,7,5,6,5,8,15,15,14,11,8,5,9,4,3,3,3,4,3,2,4,5,5,4,6,11,4,4,6,6,5,4,9,5,4,3,0
H3,MI,0.5,CICASA MMD-15 S,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,15,15,17,24,13,14,14,11,15,13,13,20,16,16,15,14,17,24,17,20,20,18,21,17,18,20,16,20,25,16,11,14,10,15,15,11,12,18,13,14,14,17,16,18,14,22,22,22,30,19,14,16,16,14,18,21,16,17,18,11
H3,MI,0.5,NAN,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,43,32,23,21,23,28,29,25,61,30,31,0,22,17,21,20,19,26,30,22,22,22,23,23,23,22,21,22,22,22,21,24,23,23,23,23,23,22,22,22,22,23,23,23,23,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24
H3,LI,0.5,CICASA MMD-15 S,12,0,5,13,15,11,9,9,27,11,10,10,10,6,12,9,9,9,9,9,9,8,8,8,8,8,8,7,7,7,7,7,7,6,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,0,18,11,12,10,8,12,15,11,17,15,11,12,13,12,12,13,13,10,8,12,9,12,11,11,11,11,11
H2,SOCIAL,0.5,KENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,3,3,4,5,6,3,4,18,6,6,7,7,7,8,18,8,9,9,18,0,11,11,9,9,9,11,10,10,11,11,11,10,10,10,10
MX,COM,0.5,TONHY,7,5,4,1,7,6,14,28,18,11,11,8,7,4,6,7,6,9,7,8,7,7,7,7,7,9,10,0,1,1,3,0,1,5,7,4,5,5,3,5,5,4,0,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,22,22,22,1,1
H3,LI,0.5,ACTARIS,20,20,13,20,0,4,3,6,6,9,11,12,11,15,24,15,4,6,6,6,6,3,5,6,4,4,4,6,6,8,12,10,7,14,5,3,4,2,7,5,0,5,10,15,15,20,10,0,15,12,11,0,3,6,7,6,5,4,5,5,5,5,4,10,5,10,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,6
H2,MI,0.5,SENSUS,24,24,24,24,22,23,23,23,22,22,22,22,21,21,21,21,20,20,20,20,20,19,20,20,19,19,19,19,20,19,18,18,18,18,18,17,17,17,16,17,16,16,17,16,16,15,15,15,16,15,15,15,15,15,14,14,14,14,14,13,13,13,12,13,12,12,12,12,12,12,24,24,24,24,24,24,18,19,20,20,20,21,21,20
H3,MI,0.5,MSDELAUNET,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,25,8,19,31,26,49,50,45,26,5,7,7,5,5,7,8,16,8,25,10,6,8,6,10,10,8,7,8,8,22,23,22,22,21,21,22,0,16,0,16,16,16,16,16,16,1,8,10,8,10,10,9,10,8,14,32,49,77,13
H3,MI,0.5,MSDELAUNET,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,15,15,13,19,16,17,16,14,17,15,11,18,15,12,20,14,19,12,11,14,14,20,11,17,11,14,14,18,19,15,15,15,15,15,15,0,17,13,15,13,15,18,16,11,11,13,13,15,11,15,22,10,14,15,14,12,13,13,9
H2,MI,0.5,CICASA MMD-15 S,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,2,29,34,27,22,32,24,29,28,27,27,25,21,30,27,20,17,21,17,22,20,19,21,18,22,20,21,39,22,22,22,30,33,19,31,27,29,31,19,23,23,22,19,36,18,20,23,26,47,33,29,30,23,26,30,37,29
H2,MI,0.5,SENSUS,13,14,23,23,23,23,19,20,21,21,21,20,20,19,20,19,19,19,19,19,18,18,18,18,18,17,26,19,19,20,19,19,20,18,18,18,18,18,17,17,17,17,17,17,16,16,16,16,16,15,15,15,15,15,14,14,14,14,14,13,13,13,12,13,12,12,12,12,12,12,11,11,11,10,12,32,32,32,32,32,32,32,32,32
H2,MI,0.5,CICASA MMD-15 S,4,4,5,7,16,13,32,12,8,6,11,27,7,3,4,9,9,6,7,14,7,6,5,5,5,4,4,9,7,10,12,10,10,13,5,8,4,4,7,9,8,9,13,9,10,5,12,11,2,13,13,19,17,28,19,23,21,19,21,19,18,20,18,22,22,18,20,20,17,20,22,18,17,15,16,19,20,16,14,14,20,24,21,9
H2,MI,0.5,SENSUS,0,0,0,0,0,0,0,0,20,20,0,0,0,0,20,0,3,0,0,0,20,0,0,0,20,0,16,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,20,20,20,16,20,20,20,20,19,18,18,18,18,18,18,19,18,18,19,18,18,18,18,28,19,19,19,19
H3,MI,0.5,SHLUMBERGER,11,12,9,11,16,17,17,26,17,15,15,12,18,12,12,17,9,13,14,18,14,11,23,13,14,10,12,11,12,14,15,13,14,12,12,11,11,12,12,12,13,15,15,12,12,10,15,10,15,13,11,9,12,11,11,13,13,12,4,10,14,16,16,13,13,12,14,14,16,13,19,14,22,14,18,17,13,14,14,14,14,15,17,13
H3,MI,0.5,SHLUMBERGER,11,11,10,11,6,11,12,10,14,7,11,9,13,15,15,20,14,12,11,13,11,10,11,11,10,10,16,12,14,13,11,8,8,11,7,1,7,15,13,8,8,8,9,17,10,12,10,0,9,15,15,6,6,8,10,0,4,3,4,3,3,7,1,4,2,1,1,6,8,6,8,7,7,1,10,13,8,9,9,3,3,6,3,3
H2,MI,0.5,CICASA MMD-15 S,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,24,24,24,9,22,27,21,21,18,17,18,16,16,14,15,19,15,14,16,12,20,15,16,18,12,15,15,18,15
H3,MI,0.5,CICASA MMD-15 S,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,30,20,20,20,20,20,20,20,20,20,20,19,28,23,17,17,16,17,19,17,15,17,16,16,6,14,13,13,12,12,11,0,10,9,9,8,7,6,7,7,7,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
H3,MI,0.5,SHLUMBERGER,20,20,20,20,20,20,20,20,20,20,20,20,20,20,2,7,10,13,7,13,19,12,14,12,0,7,5,12,9,10,8,6,8,11,11,8,8,7,7,11,13,21,17,18,26,3,21,15,24,20,17,16,0,11,10,13,14,13,15,13,15,16,14,12,16,16,15,19,14,18,13,15,17,14,12,19,17,17,13,16,18,20,16,16
H3,MI,0.5,Cicasa NG 1/2,20,20,11,12,17,5,12,12,11,11,11,16,9,7,10,11,8,13,9,9,9,0,34,11,12,13,14,19,12,12,12,11,13,13,12,11,11,11,12,11,13,14,10,10,13,11,4,10,9,9,8,8,7,8,7,13,15,11,5,1,4,0,6,9,10,7,8,8,8,8,9,8,11,8,8,13,9,9,10,8,10,10,11,8
H3,MI,0.5,CICASA MMD-15 S,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,12,16,3,11,13,12,11,11,10,8,8,8,7,8,7,7,7,7,7,7,6,6,6,6,6,25,0,65,53,25,81,62,59,51,55,57,78,35,16,17,13,14,16,16,14,12,14,9,17,11,16,17,14,12,14,13,23,13,13,9
